u,i,ts,label,idx,e_idx
1,3,0.6628131711233602,-1,1,1
2,3,0.681325043554947,-1,2,2
2,4,0.9145078451151689,1,3,3
1,3,1.5589781923172639,-1,4,4
2,3,1.6165017727966835,-1,5,5
2,4,1.6810451113902347,1,6,6
1,4,3.3610530230219604,-1,7,7
2,4,4.976590020859744,0,8,8
2,4,5.308489961732418,0,9,9
2,4,6.154995769230755,0,10,10
1,4,6.675244048964725,-1,11,11
1,3,6.963320787041688,-1,12,12
2,3,6.998110502549621,-1,13,13
2,4,7.003354399396755,1,14,14
2,4,7.004543686020114,0,15,15
2,4,7.302009844070026,0,16,16
1,4,7.503093333779059,-1,17,17
1,3,10.441348526013378,-1,18,18
2,3,10.452221243935773,-1,19,19
2,4,10.61693644298595,1,20,20
1,4,12.771019214936475,-1,21,21
1,4,12.832675776194874,-1,22,22
1,4,13.45637160667287,-1,23,23
1,3,14.103963163685684,-1,24,24
2,3,14.114451793872954,-1,25,25
2,3,14.13589104402642,-1,26,26
2,4,14.14538837493265,1,27,27
1,3,14.337430551586069,-1,28,28
2,3,14.38501577659321,-1,29,29
2,3,14.41855542218863,-1,30,30
2,4,14.430272110285346,1,31,31
2,4,14.442858393965588,1,32,32
2,3,14.501773989068795,-1,33,33
2,4,14.505291881750749,1,34,34
1,4,16.347136860320955,-1,35,35
1,3,16.408870709345035,-1,36,36
1,4,17.167914997189364,-1,37,37
2,4,17.314005102181877,0,38,38
1,4,17.34904643136937,-1,39,39
2,4,17.413041733316167,0,40,40
1,3,21.551828347742106,-1,41,41
2,3,21.564379975346174,-1,42,42
1,4,21.708892347939745,-1,43,43
2,4,21.809681160414517,0,44,44
2,4,22.452609590855165,1,45,45
1,3,26.065575028349702,-1,46,46
2,4,26.419564774579907,0,47,47
1,4,26.664229885612496,-1,48,48
1,4,27.160825672179207,-1,49,49
1,3,28.06117019127402,-1,50,50
2,3,28.0835292023277,-1,51,51
2,4,28.200423373460836,1,52,52
1,3,28.249336677827582,-1,53,53
2,3,28.265185777485346,-1,54,54
2,4,28.287716694580855,1,55,55
1,4,29.17490586603767,-1,56,56
1,4,29.196227040137774,-1,57,57
2,4,29.894256126430697,0,58,58
2,4,31.24908401612578,0,59,59
1,3,31.909215922692614,-1,60,60
2,3,32.05187348052549,-1,61,61
2,4,32.0827031033655,1,62,62
1,3,32.450760247286425,-1,63,63
2,3,32.56999614661625,-1,64,64
2,4,32.625506901973324,1,65,65
2,4,32.837600457147055,0,66,66
1,3,33.43300451187934,-1,67,67
2,3,33.492062782488254,-1,68,68
2,4,33.51317220619059,1,69,69
1,4,34.266527474232426,-1,70,70
2,4,35.771321743176806,0,71,71
2,4,36.36461918223321,0,72,72
2,4,37.01747682430694,0,73,73
1,4,37.33182673212067,-1,74,74
2,4,37.70148827084846,0,75,75
2,4,38.534568181638726,0,76,76
1,4,38.82436473378709,-1,77,77
1,4,39.39402991617918,-1,78,78
2,4,40.1317287839225,0,79,79
2,4,40.55317669473055,0,80,80
1,3,41.60165253099606,-1,81,81
1,3,43.423956728307644,-1,82,82
2,4,43.73989594866956,0,83,83
1,4,44.09800907884222,-1,84,84
1,3,46.368315929785915,-1,85,85
2,3,46.54285194177483,-1,86,86
2,4,46.54619263310066,1,87,87
1,3,46.8413098263601,-1,88,88
2,3,47.11224514397518,-1,89,89
2,4,47.127369143060406,1,90,90
1,4,47.314480296452984,-1,91,91
1,3,47.80625885772184,-1,92,92
2,3,47.815745076846675,-1,93,93
2,4,47.84619658344743,1,94,94
2,4,48.852039427370336,0,95,95
1,3,49.73837667696397,-1,96,96
1,3,50.13332640845263,-1,97,97
2,3,50.196882360364825,-1,98,98
2,3,50.2418689257671,-1,99,99
2,4,50.26753275420233,1,100,100
2,3,50.285957445366535,-1,101,101
2,4,50.29136661392236,1,102,102
2,3,50.312519716177775,-1,103,103
2,4,50.312671275221284,1,104,104
2,3,50.34461235865435,-1,105,105
2,4,50.46673771846129,1,106,106
1,3,50.95725308767988,-1,107,107
1,3,51.259346961163374,-1,108,108
2,4,52.29201089057327,0,109,109
2,4,53.52671358026309,0,110,110
1,3,57.24390503989056,-1,111,111
1,4,57.69316973658513,-1,112,112
2,4,57.96971839801407,0,113,113
1,3,58.0195104367056,-1,114,114
1,3,58.052820663827056,-1,115,115
2,3,58.08259172391865,-1,116,116
2,4,58.08773197202351,1,117,117
2,3,58.09326829050795,-1,118,118
2,4,58.108971311127924,1,119,119
1,4,58.37803732445409,-1,120,120
1,3,58.47302555032647,-1,121,121
2,4,58.47924935495872,0,122,122
1,4,58.51553287889047,-1,123,123
1,4,58.89988302999164,-1,124,124
1,4,59.53871016848267,-1,125,125
1,3,59.97915073646701,-1,126,126
1,4,60.2005689057722,-1,127,127
2,4,62.212183669149304,0,128,128
1,4,63.0579906139353,-1,129,129
2,4,63.185504685895815,0,130,130
1,4,63.284289111912436,-1,131,131
1,4,63.641080354206046,-1,132,132
1,3,64.58642196629783,-1,133,133
2,4,65.71587892638648,0,134,134
1,3,66.59268245959045,-1,135,135
2,3,66.60670983639237,-1,136,136
2,4,66.64054261076106,0,137,137
2,3,66.664832190261,-1,138,138
2,4,67.0601338579486,1,139,139
1,4,67.45930585671921,-1,140,140
1,3,67.67848376428866,-1,141,141
2,3,67.67972294880299,-1,142,142
2,4,67.68151469961553,1,143,143
1,4,67.7099020352418,-1,144,144
1,4,67.81090095957514,-1,145,145
1,4,68.23199889961137,-1,146,146
1,3,68.99853518763958,-1,147,147
1,3,69.53368751613745,-1,148,148
1,4,71.2856176419907,-1,149,149
1,3,71.87333418434048,-1,150,150
1,4,71.92667552251282,-1,151,151
1,4,72.03665222355143,-1,152,152
1,4,72.14317831967708,-1,153,153
2,4,72.6579684151243,0,154,154
2,4,72.99622854826642,0,155,155
2,4,76.56508428599759,0,156,156
1,4,76.91099395952858,-1,157,157
2,4,77.59657282745145,0,158,158
2,4,78.28139087246883,0,159,159
1,4,78.70092603686672,-1,160,160
1,4,78.78876489622868,-1,161,161
1,4,80.32011144784865,-1,162,162
1,3,80.89394964137303,-1,163,163
1,3,82.15127667321558,-1,164,164
2,3,82.175079543149,-1,165,165
2,4,82.17791697792866,1,166,166
2,3,82.20764718525231,-1,167,167
1,4,82.22768489693448,-1,168,168
1,4,82.25628776257676,-1,169,169
2,4,82.27499756182686,1,170,170
2,4,82.51308801960313,0,171,171
1,4,82.78455331841558,-1,172,172
1,4,83.01497785748455,-1,173,173
1,4,83.69178635985952,-1,174,174
2,4,83.74060202672827,0,175,175
2,4,83.91341041632863,0,176,176
2,4,84.9768849326782,0,177,177
1,3,85.31321711909612,-1,178,178
1,4,86.63686032185743,-1,179,179
1,4,86.638563264259,-1,180,180
2,4,87.12495269245916,0,181,181
1,3,87.86423887008017,-1,182,182
2,3,87.90574564280551,-1,183,183
2,3,87.94595424831617,-1,184,184
2,4,87.96238904667877,1,185,185
2,3,87.99363758808938,-1,186,186
2,4,88.00689503162937,1,187,187
1,4,88.25322140257096,-1,188,188
1,3,89.44081425044487,-1,189,189
1,4,89.72785128820156,-1,190,190
2,4,89.86078591376446,0,191,191
1,4,91.47387638880811,-1,192,192
1,3,93.89676293640315,-1,193,193
2,3,93.96874037428209,-1,194,194
2,3,93.97863394832771,-1,195,195
2,4,93.9788781524561,1,196,196
2,4,94.05858673828912,1,197,197
1,3,94.1459797838148,-1,198,198
2,3,94.26241450168946,-1,199,199
2,4,94.28014078534804,1,200,200
2,3,94.42072223191327,-1,201,201
1,4,94.55831571611893,-1,202,202
2,4,94.72812480941177,1,203,203
1,4,95.46795375877277,-1,204,204
2,4,96.5499594349132,0,205,205
1,4,99.60426609420121,-1,206,206
1,4,99.84800960553656,-1,207,207
1,3,100.8596851321973,-1,208,208
2,3,100.94673224890863,-1,209,209
2,4,100.97165010890899,1,210,210
1,3,101.26783684443106,-1,211,211
1,4,101.55259326667283,-1,212,212
1,3,102.36093121016305,-1,213,213
1,4,102.66590275341262,-1,214,214
1,4,103.13939461634743,-1,215,215
2,4,104.02846758154192,0,216,216
1,4,107.48856442064967,-1,217,217
1,4,107.59535852965189,-1,218,218
1,3,110.91231802679678,-1,219,219
2,3,110.91421323417089,-1,220,220
2,4,110.92675400724971,1,221,221
1,3,111.73562096159611,-1,222,222
2,3,111.7820845249621,-1,223,223
2,4,111.8054184501528,0,224,224
2,3,111.80558579355076,-1,225,225
2,4,111.81289270195184,1,226,226
2,3,111.81294535788037,-1,227,227
2,4,111.97497851921855,0,228,228
2,4,111.99972840599305,1,229,229
2,4,113.86141544869292,0,230,230
1,3,113.86846963549378,-1,231,231
2,3,113.88896676540018,-1,232,232
2,4,113.90767901195862,1,233,233
1,3,115.51888156303241,-1,234,234
2,3,115.6142943743413,-1,235,235
2,4,115.67185582920176,1,236,236
1,4,115.87876038893563,-1,237,237
2,4,116.61221568273233,0,238,238
1,4,116.99047622635703,-1,239,239
1,4,117.46443655278937,-1,240,240
2,4,117.95739131294175,0,241,241
1,4,118.09441773551617,-1,242,242
1,3,118.37539539814614,-1,243,243
2,3,118.39370613349062,-1,244,244
2,4,118.39483540320231,1,245,245
2,3,118.4038576141704,-1,246,246
1,3,120.06634339112968,-1,247,247
1,4,120.4960493664223,-1,248,248
1,3,120.92632846288966,-1,249,249
1,4,121.59611108066024,-1,250,250
2,4,122.47826335313705,0,251,251
1,4,122.836321074139,-1,252,252
2,4,124.32672717074846,0,253,253
1,3,124.52471203169617,-1,254,254
2,3,124.55620351296426,-1,255,255
2,3,124.55671411373022,-1,256,256
2,4,124.71910516487213,1,257,257
1,3,125.09795855558326,-1,258,258
2,3,125.09822984533893,-1,259,259
2,4,125.12139973062311,1,260,260
2,3,125.15735579320025,-1,261,261
2,4,125.21353243180319,1,262,262
2,3,125.21628053752107,-1,263,263
2,4,125.22057135023374,1,264,264
1,4,126.40386112905487,-1,265,265
1,3,126.61433330772951,-1,266,266
2,4,127.46638859372511,0,267,267
1,3,127.55227258340393,-1,268,268
1,3,127.5757580440406,-1,269,269
2,3,127.60849669320989,-1,270,270
2,3,127.63143527173756,-1,271,271
2,4,127.65691465072884,1,272,272
2,4,127.66760341889385,1,273,273
1,4,128.74212871086087,-1,274,274
1,3,129.88608996020142,-1,275,275
1,3,129.96414703616094,-1,276,276
2,4,129.96781083333943,0,277,277
2,3,129.97344556512206,-1,278,278
2,4,130.1282737927124,1,279,279
1,4,130.57320816811207,-1,280,280
2,4,131.25840963783955,0,281,281
1,4,131.56522998856948,-1,282,282
1,3,132.4086348456348,-1,283,283
2,3,132.42795643542954,-1,284,284
2,4,132.47752372347477,1,285,285
2,3,132.49336664888108,-1,286,286
2,4,132.49454337134014,1,287,287
1,3,135.07442066969335,-1,288,288
2,3,135.08115051643298,-1,289,289
2,3,135.11534244599574,-1,290,290
2,4,135.17854299617937,1,291,291
1,4,135.9424975278507,-1,292,292
2,4,135.99518942135745,0,293,293
1,4,136.23913722588546,-1,294,294
2,4,137.90365912632203,0,295,295
1,4,138.75292919431223,-1,296,296
1,3,140.97506385283447,-1,297,297
2,3,141.18234682433427,-1,298,298
2,4,141.18312055042364,1,299,299
1,4,141.65677232906643,-1,300,300
1,4,141.8883327816125,-1,301,301
1,3,142.09483888348328,-1,302,302
2,3,142.13640284684584,-1,303,303
2,3,142.1394678328553,-1,304,304
2,3,142.16460751529493,-1,305,305
2,4,142.17454935809835,1,306,306
2,4,142.2601199060772,1,307,307
2,4,143.13019440089394,0,308,308
2,4,143.49768141409302,0,309,309
1,3,144.34631404741754,-1,310,310
2,3,144.36467185812324,-1,311,311
2,4,144.42086952496862,1,312,312
2,3,144.45691219494518,-1,313,313
2,4,144.4727486424467,1,314,314
1,3,144.71838881114513,-1,315,315
